Lambda \ best model info,data,0.00001,0.0001,0.001,0.01,0.1,1,100,1000
a=0.001,train (1)*,0.9990079365079365,0.9970238095238095,0.9990079365079365,0.9985119047619048,0.9970238095238095,0.8606150793650794,0.345734126984127,0.3323412698412698
a=0.001,test (1)*,0.7719907407407407,0.7789351851851852,0.7731481481481481,0.7696759259259259,0.7881944444444444,0.7569444444444444,0.30439814814814814,0.33564814814814814
a=0.001,train (3)***,1.0,1.0,1.0,1.0,1.0,0.9975198412698413,0.33630952380952384,0.33978174603174605
a=0.001,test (3)***,0.7754629629629629,0.7673611111111112,0.7604166666666666,0.7557870370370371,0.7743055555555556,0.8055555555555556,0.3263888888888889,0.31828703703703703
a=0.001,train (4)****,1.0,1.0,1.0,1.0,1.0,0.9990079365079365,0.341765873015873,0.33878968253968256
a=0.001,test (4)****,0.7743055555555556,0.7754629629629629,0.7638888888888888,0.7511574074074074,0.7662037037037037,0.7824074074074074,0.3136574074074074,0.32060185185185186
a=0.01,train (1)*,1.0,1.0,1.0,1.0,1.0,0.8844246031746031,0.33035714285714285,0.4439484126984127
a=0.01,test (1)*,0.7870370370370371,0.7905092592592593,0.7708333333333334,0.7916666666666666,0.7662037037037037,0.7372685185185185,0.3402777777777778,0.44560185185185186
a=0.01,train (3)***,1.0,1.0,1.0,1.0,1.0,0.9856150793650794,0.33978174603174605,0.345734126984127
a=0.01,test (3)***,0.7604166666666666,0.7893518518518519,0.7870370370370371,0.7592592592592593,0.7870370370370371,0.7581018518518519,0.31828703703703703,0.30439814814814814
a=0.01,train (4)****,1.0,1.0,1.0,1.0,1.0,0.9479166666666666,0.3298611111111111,0.3392857142857143
a=0.01,test (4)****,0.7662037037037037,0.7754629629629629,0.7835648148148148,0.7743055555555556,0.7731481481481481,0.75,0.3414351851851852,0.3194444444444444
a=0.1,train (1)*,1.0,1.0,1.0,1.0,1.0,0.7569444444444444,0.39533730158730157,0.33978174603174605
a=0.1,test (1)*,0.7824074074074074,0.7534722222222222,0.7974537037037037,0.7962962962962963,0.7615740740740741,0.6539351851851852,0.3900462962962963,0.31828703703703703
a=0.1,train (3)***,1.0,1.0,1.0,1.0,0.9766865079365079,0.8159722222222222,0.3343253968253968,0.3318452380952381
a=0.1,test (3)***,0.8206018518518519,0.8229166666666666,0.8020833333333334,0.8125,0.7754629629629629,0.6990740740740741,0.33101851851851855,0.3368055555555556
a=0.1,train (4)****,1.0,1.0,1.0,1.0,0.9875992063492064,0.8139880952380952,0.345734126984127,0.33382936507936506
a=0.1,test (4)****,0.8067129629629629,0.8148148148148148,0.7870370370370371,0.78125,0.7824074074074074,0.7199074074074074,0.30439814814814814,0.33217592592592593
a=1.0,train (1)*,0.8224206349206349,0.7991071428571429,0.7385912698412699,0.5262896825396826,0.5570436507936508,0.3898809523809524,0.33382936507936506,0.3169642857142857
a=1.0,test (1)*,0.6018518518518519,0.5740740740740741,0.5486111111111112,0.4212962962962963,0.4826388888888889,0.3761574074074074,0.33217592592592593,0.3194444444444444
a=1.0,train (3)***,0.3288690476190476,0.39632936507936506,0.3343253968253968,0.39037698412698413,0.36904761904761907,0.2708333333333333,0.3323412698412698,0.24553571428571427
a=1.0,test (3)***,0.28587962962962965,0.35648148148148145,0.31828703703703703,0.3738425925925926,0.3368055555555556,0.27662037037037035,0.33564814814814814,0.2951388888888889
a=1.0,train (4)****,0.4310515873015873,0.404265873015873,0.39831349206349204,0.38740079365079366,0.40674603174603174,0.34226190476190477,0.33283730158730157,0.31299603174603174
a=1.0,test (4)****,0.37962962962962965,0.40625,0.3611111111111111,0.3819444444444444,0.4166666666666667,0.3472222222222222,0.33449074074074076,0.2835648148148148
